11 warnings generated.
Jacobi BENCHMARK
 no: of threads 72
Iter 364: Residual = 0.000916273
Iter 365: Residual = 0.000881654
Iter 366: Residual = 0.000848344
Iter 367: Residual = 0.000816293
Iter 368: Residual = 0.000785453
Iter 369: Residual = 0.000755779
Iter 370: Residual = 0.000727226
Iter 371: Residual = 0.000699752
Iter 372: Residual = 0.000673317
Iter 373: Residual = 0.000647881
Iter 374: Residual = 0.000623406
Iter 375: Residual = 0.000599855
Iter 376: Residual = 0.000577195
Iter 377: Residual = 0.000555391
Iter 378: Residual = 0.000534411
Iter 379: Residual = 0.000514224
Iter 380: Residual = 0.0004948
Iter 381: Residual = 0.00047611
Iter 382: Residual = 0.000458126
Iter 383: Residual = 0.000440821
Iter 384: Residual = 0.000424171
Iter 385: Residual = 0.000408149
Iter 386: Residual = 0.000392733
Iter 387: Residual = 0.000377899
Iter 388: Residual = 0.000363626
Iter 389: Residual = 0.000349892
Iter 390: Residual = 0.000336677
Iter 391: Residual = 0.000323962
Iter 392: Residual = 0.000311726
Iter 393: Residual = 0.000299953
Iter 394: Residual = 0.000288625
Iter 395: Residual = 0.000277725
Iter 396: Residual = 0.000267236
Iter 397: Residual = 0.000257144
Iter 398: Residual = 0.000247433
Iter 399: Residual = 0.000238089
Iter 400: Residual = 0.000229098
Iter 401: Residual = 0.000220446
Iter 402: Residual = 0.000212121
Iter 403: Residual = 0.000204111
Iter 404: Residual = 0.000196404
Iter 405: Residual = 0.000188987
Iter 406: Residual = 0.000181851
Iter 407: Residual = 0.000174984
Iter 408: Residual = 0.000168377
Iter 409: Residual = 0.000162019
Iter 410: Residual = 0.000155901
Iter 411: Residual = 0.000150014
Iter 412: Residual = 0.00014435
Iter 413: Residual = 0.0001389
Iter 414: Residual = 0.000133655
Iter 415: Residual = 0.000128609
Iter 416: Residual = 0.000123753
Iter 417: Residual = 0.000119081
Iter 418: Residual = 0.000114585
Iter 419: Residual = 0.000110259
Iter 420: Residual = 0.000106096
Iter 421: Residual = 0.00010209
Iter 422: Residual = 9.8236e-05
Solver : Jacobi Converged
Time taken : 6.76981
Performance : 62.4833iter/s
Bandwidth : 42.3202
Performance in Flops/s :
